TransactionID,CustomerID,TransactionAmount,TransactionDateTime,TransactionType,MerchantCategory,DeviceType,IP_Address,Geolocation,AccountBalance,IsHighRiskCountry,NumberOfFailedLogins,IsNewPayee,TransactionChannel,HistoricalFraudScore,FraudLabel
T100000,C1654,3192.18,2024-05-26 04:27:50,Purchase,Healthcare,ATM,167.54.34.254,"Warsaw, Poland",6688.87,True,1,False,ATM,0.63,0
T100001,C1114,4411.72,2024-09-09 04:02:34,Purchase,Groceries,Mobile,66.177.56.70,"Amsterdam, Netherlands",32397.12,True,3,True,ATM,0.1,0
T100002,C1025,1177.39,2024-08-11 16:49:32,Transfer,Groceries,ATM,214.46.44.148,"Paris, France",189.98,False,4,False,ATM,0.93,0
T100003,C1759,1494.06,2024-01-21 19:26:45,Transfer,Electronics,Desktop,114.163.89.169,"Amsterdam, Netherlands",25788.54,False,0,False,Branch,0.59,0
T100004,C1281,2737.1,2024-05-21 08:46:42,Transfer,Healthcare,ATM,25.95.189.147,"Amsterdam, Netherlands",39817.43,True,5,True,Online,1.0,1
T100005,C1250,153.55,2024-08-03 08:50:24,Purchase,Healthcare,Mobile,27.185.41.69,"Amsterdam, Netherlands",24897.55,True,0,True,ATM,0.33,0
T100006,C1228,6229.83,2024-04-28 09:51:50,Withdrawal,Groceries,ATM,68.194.195.175,"Amsterdam, Netherlands",48036.32,False,5,False,Online,0.85,1
T100007,C1142,5141.09,2024-03-30 18:43:39,Purchase,Healthcare,Mobile,133.149.192.195,"Paris, France",15289.07,True,5,True,Branch,0.54,1
T100008,C1754,2066.57,2024-05-18 23:03:59,Withdrawal,Travel,ATM,203.49.96.172,"Amsterdam, Netherlands",24006.07,True,2,True,Branch,0.52,0
T100009,C1104,3503.83,2024-03-19 03:11:26,Transfer,Healthcare,Mobile,159.99.19.120,"Berlin, Germany",11955.85,True,3,False,ATM,0.28,0
T100010,C1692,3185.53,2024-10-20 17:07:07,Transfer,Luxury Goods,ATM,34.193.137.70,"Warsaw, Poland",28641.84,False,1,False,ATM,0.38,0
T100011,C1758,1416.43,2024-01-24 09:11:20,Transfer,Healthcare,ATM,180.29.170.73,"Amsterdam, Netherlands",1420.15,True,3,True,Online,0.57,0
T100012,C1913,7043.83,2024-09-17 05:58:47,Withdrawal,Travel,Desktop,53.120.103.11,"Warsaw, Poland",24296.98,True,5,False,Branch,0.99,1
T100013,C1558,2833.39,2024-04-16 19:41:57,Purchase,Electronics,Mobile,161.65.250.157,"Berlin, Germany",44779.89,False,1,False,Online,0.64,0
T100014,C1089,2449.01,2024-07-17 23:01:55,Purchase,Healthcare,Desktop,133.27.206.42,"Paris, France",4178.04,True,1,True,ATM,0.21,0
T100015,C1604,713.36,2024-07-26 15:08:02,Purchase,Luxury Goods,ATM,19.17.133.249,"Berlin, Germany",45245.55,False,5,True,ATM,0.73,0
T100016,C1432,6133.02,2024-09-18 02:13:02,Purchase,Groceries,Mobile,88.213.233.212,"Paris, France",18290.22,False,0,False,ATM,0.1,1
T100017,C1032,3388.05,2024-08-13 00:47:48,Withdrawal,Groceries,ATM,190.227.104.154,"Amsterdam, Netherlands",30971.16,True,0,True,Online,0.32,0
T100018,C1030,4437.03,2024-10-23 05:06:12,Purchase,Groceries,Desktop,118.13.249.42,"Amsterdam, Netherlands",26984.53,False,2,False,ATM,0.59,0
T100019,C1095,1301.61,2024-11-11 12:06:13,Purchase,Groceries,Mobile,191.142.239.116,"Berlin, Germany",29402.57,False,2,False,Online,0.73,0
T100020,C1223,4707.89,2024-01-19 13:42:30,Purchase,Luxury Goods,Mobile,166.3.224.93,"Warsaw, Poland",46727.02,True,3,False,ATM,0.8,0
T100021,C1238,6755.28,2024-07-05 15:22:38,Withdrawal,Electronics,ATM,14.146.65.213,"Berlin, Germany",49233.45,False,0,True,ATM,0.23,0
T100022,C1517,1060.16,2024-07-02 01:37:54,Withdrawal,Travel,Mobile,115.103.185.33,"Berlin, Germany",2492.51,True,1,True,Branch,0.19,0
T100023,C1616,538.94,2024-06-25 21:37:31,Transfer,Healthcare,Mobile,172.51.72.89,"Paris, France",15164.41,True,0,True,ATM,0.21,0
T100024,C1027,4265.23,2024-11-07 05:19:59,Purchase,Luxury Goods,Mobile,12.220.231.14,"Berlin, Germany",5574.33,True,2,False,ATM,0.27,0
T100025,C1574,1790.65,2024-02-04 11:29:23,Purchase,Healthcare,Mobile,61.144.133.102,"Amsterdam, Netherlands",49463.1,False,5,False,ATM,0.12,0
T100026,C1203,5961.62,2024-07-07 02:44:33,Withdrawal,Travel,Mobile,202.42.84.199,"Paris, France",41802.77,True,4,True,Branch,0.63,1
T100027,C1733,5927.97,2024-05-05 20:41:05,Withdrawal,Groceries,Desktop,143.110.123.64,"Berlin, Germany",32952.23,True,0,True,Online,0.18,1
T100028,C1665,8361.91,2024-09-25 02:04:29,Purchase,Luxury Goods,ATM,38.198.142.170,"Paris, France",23537.95,True,5,False,Branch,0.64,1
T100029,C1718,6993.96,2024-01-25 17:36:29,Withdrawal,Luxury Goods,Desktop,51.79.178.246,"Paris, France",8141.72,False,1,False,Online,0.9,1
T100030,C1558,6163.54,2024-05-18 18:03:26,Transfer,Luxury Goods,Mobile,188.165.77.203,"Amsterdam, Netherlands",14049.15,True,5,False,ATM,0.83,1
T100031,C1429,3125.09,2024-06-21 05:28:51,Purchase,Travel,Mobile,75.98.48.128,"Amsterdam, Netherlands",32572.56,True,1,True,ATM,0.1,0
T100032,C1225,8174.6,2024-02-25 20:27:23,Withdrawal,Healthcare,Mobile,11.99.161.217,"Amsterdam, Netherlands",17997.63,True,4,False,Online,0.99,1
T100033,C1459,7129.27,2024-08-02 15:38:40,Purchase,Groceries,ATM,110.206.241.90,"Berlin, Germany",49978.75,True,5,False,ATM,0.28,1
T100034,C1603,6709.03,2024-01-02 19:09:45,Purchase,Electronics,Desktop,26.149.201.134,"Paris, France",22032.66,True,5,False,Online,0.53,1
